SP	GD	NUM_BP	DROPPED_PAIRS	SEQS	IUCN	status	Split	New Name	N_of_splits	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	Notes	Included in Phylogeny
Charadrius obscurus	7.89E-04	82	0	14	CR	Threatened	Charadrius aquilonius	NA	1	Charadrius aquilonius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Falco pelegrinoides	0.001034577	16	0	6	LC	Non-threatened	lumped with peregrinus	Falco peregrinus	NA	Falco peregrinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Carpodacus eos	0.001461088	12	10	6	LC	Non-threatened	now Carpodacus waltoni	Carpodacus waltoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Bambusicola thoracicus	0.001500702	155	0	14	LC	Non-threatened	Bambusicola sonorivox	NA	1	Bambusicola sonorivox	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Capito wallacei	0.00163237	94	0	11	VU	Threatened	Capito fitzpatricki	NA	1	Capito fitzpatricki	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Penelopides panini	0.001934876	38	10	9	EN	Threatened	Penelopides affinis, Penelopides mindorensis, Penelopides manillae	NA	3	Penelopides affinis	Penelopides mindorensis	Penelopides manillae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes, Yes
Threskiornis aethiopicus	0.001999734	8	22	7	LC	Non-threatened	Threskiornis bernieri	NA	1	Threskiornis bernieri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Circus spilonotus	0.002091847	86	0	9	LC	Non-threatened	Circus spilothorax	NA	1	Circus spilothorax	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Icterus spurius	0.002109892	127	0	12	LC	Non-threatened	Icterus fuertesi	NA	1	Icterus fuertesi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Pycnonotus plumosus	0.002443449	466	116	31	LC	Non-threatened	Pycnonotus cinereifrons	NA	1	Pycnonotus cinereifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Hypsipetes leucocephalus	0.002649004	459	0	18	LC	Non-threatened	Hypsipetes ganeesa	NA	1	Hypsipetes ganeesa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Myioborus ornatus	0.003252439	78	0	7	LC	Non-threatened	Myioborus chrysops	NA	1	Myioborus chrysops	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Poicephalus robustus	0.003507956	15	10	6	VU	Threatened	Poicephalus fuscicollis	NA	1	Poicephalus fuscicollis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Aulacorhynchus sulcatus	0.00400217	603	36	19	LC	Non-threatened	Aulacorhynchus calorhynchus	NA	1	Aulacorhynchus calorhynchus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Acrocephalus arundinaceus	0.004294648	43	16	7	LC	Non-threatened	Acrocephalus orientalis	NA	1	Acrocephalus orientalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Apus affinis	0.004522734	823	34	25	LC	Non-threatened	Apus nipalensis	NA	1	Apus nipalensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Hemiphaga novaeseelandiae	0.004717904	148	0	9	NT	Non-threatened	Hemiphaga chathamensis	NA	1	Hemiphaga chathamensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Ramphocelus icteronotus	0.004790781	10870	8288	130	LC	Non-threatened	Ramphocelus flammigerus	NA	1	Ramphocelus flammigerus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Turdus naumanni	0.004817867	48	2	6	LC	Non-threatened	Turdus eunomus	NA	1	Turdus eunomus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Puffinus lherminieri	0.004848605	140	54	12	LC	Non-threatened	P. baroli, P. bannermani, P. persicus, P. subalaris and P. bailloni	NA	5	Puffinus baroli	Puffinus bannermani	Puffinus persicus	Puffinus subalaris	Puffinus bailloni	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No, No, No
Larus argentatus	0.005141479	10538	746	72	LC	Non-threatened	Larus smithsonianus	NA	1	Larus smithsonianus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Petroica australis	0.00521928	65	12	8	LC	Non-threatened	Petroica longipes	NA	1	Petroica longipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Parus caeruleus	0.00564851	3300	724	47	LC	Non-threatened	Cyanistes teneriffae	NA	1	Cyanistes teneriffae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Emberiza spodocephala	0.005772919	261	14	12	LC	Non-threatened	Emberiza personata	NA	1	Emberiza personata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Leiothrix argentauris	0.005909841	64	8	6	LC	Non-threatened	Leiothrix laurinae	NA	1	Leiothrix laurinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Buteo buteo	0.006012907	62	10	6	LC	Non-threatened	Buteo japonicus, Buteo refectus	NA	2	Buteo japonicus	Buteo refectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Pteroglossus inscriptus	0.006248796	148	0	8	LC	Non-threatened	Pteroglossus humboldti	NA	1	Pteroglossus humboldti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Lepidocolaptes affinis	0.006261419	5991	0	45	LC	Non-threatened	Lepidocolaptes neglectus	NA	1	Lepidocolaptes neglectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Calonectris diomedea	0.006494384	3318	1138	49	LC	Non-threatened	C. borealis, C. edwardsi	NA	2	Calonectris borealis	Calonectris edwardsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Sylvia sarda	0.006570118	62	10	7	LC	Non-threatened	Sylvia balearica	NA	1	Sylvia balearica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Pyrrhura leucotis	0.006789158	109	0	6	VU	Threatened	Pyrrhura emma	NA	1	Pyrrhura emma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Strophocincla fairbanki	0.006847813	414	0	12	NT	Non-threatened	Trochalopteron meridionale	NA	1	Trochalopteron meridionale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
