SP,MAX_LENGTH,MIN_LENGTH,AVG_LENGTH
Aceros_corrugatus,1143,891,992.333333333333
Aceros_undulatus,1143,900,986
Acrocephalus_aequinoctialis,921,749,871.333333333334
Acrocephalus_agricola,1041,359,944.52
Acrocephalus_arundinaceus,1041,480,836.428571428571
Acrocephalus_australis,1041,371,888.538461538462
Acrocephalus_baeticatus,1133,480,900.458333333333
Acrocephalus_bistrigiceps,1143,480,948.9
Acrocephalus_brevipennis,1143,675,1112.3
Acrocephalus_concinens,1131,829,1022.16666666667
Acrocephalus_dumetorum,1047,90,472.222222222222
Acrocephalus_familiaris,921,608,628.77027027027
Acrocephalus_gracilirostris,1047,480,912.090909090909
Acrocephalus_melanopogon,1041,362,988.692307692308
Acrocephalus_mendanae,879,859,878.230769230769
Acrocephalus_newtoni,1041,307,498.75
Acrocephalus_palustris,1041,366,810
Acrocephalus_rufescens,1143,1041,1118.44444444444
Acrocephalus_schoenobaenus,1041,480,861.833333333333
Acrocephalus_scirpaceus,1143,370,882.459259259259
Acrocephalus_stentoreus,1041,735,920.833333333333
Actinodura_egertoni,1143,1143,1143
Adelomyia_melanogenys,1143,1143,1143
Aegithalos_caudatus,1143,692,1004.73134328358
Aegithalos_concinnus,1143,590,977.104347826087
Aegithalos_fuliginosus,1143,929,943.282051282051
Aegolius_acadicus,1143,275,956.574074074074
Aegolius_funereus,1041,270,577.058823529412
Aegotheles_bennettii,656,220,469.454545454545
Aegotheles_cristatus,1143,550,747.666666666667
Aegypius_monachus,1026,311,345.047619047619
Agelaius_phoeniceus,1143,297,1023.5
Ailuroedus_buccoides,799,799,799
Ailuroedus_crassirostris,972,799,834.375
Ailuroedus_melanotis,1143,799,821.933333333333
Aimophila_botterii,1143,641,817.208333333333
Aimophila_cassinii,1143,656,784.25
Alaemon_alaudipes,1125,962,1017.16666666667
Alcippe_chrysotis,1143,621,944.833333333333
Alcippe_cinerea,1143,619,885.333333333333
Alcippe_cinereiceps,1143,621,852.333333333333
Alcippe_dubia,1143,478,849.625
Alcippe_morrisonia,1143,642,729.2
Alcippe_poioicephala,1143,666,1026.28571428571
Alectoris_graeca,1143,515,922.333333333333
Alectoris_magna,1143,807,842.875
Alectrurus_risora,698,696,697.727272727273
Alectura_lathami,1143,454,544.656
Alethe_poliocephala,1143,639,1098.73333333333
Amaurornis_phoenicurus,934,364,659
Amazona_farinosa,1143,694,909.291666666667
Amazona_ochrocephala,1143,658,884
Amblycercus_holosericeus,920,875,905
Ammomanes_deserti,1067,1001,1012.5
Amphispiza_belli,1143,1143,1143
