SP,GD,NUM_BP,DROPPED_PAIRS,SEQS,IUCN
Aceros_corrugatus,0.0249576655466314,477,0,7,NT
Aceros_undulatus,0.0217870942122072,414,0,7,LC
Acrocephalus_aequinoctialis,0.00183655314911096,23,0,6,EN
Acrocephalus_agricola,0.00643374474322568,6514,368,50,LC
Acrocephalus_arundinaceus,0.0042946479761501,43,16,7,LC
Acrocephalus_australis,0.0039335402936536,233,24,13,LC
Acrocephalus_baeticatus,0.00932451780914469,2039,42,24,LC
Acrocephalus_bistrigiceps,0.0159002599164255,551,14,10,LC
Acrocephalus_brevipennis,0.00300135521549287,601,0,20,VU
Acrocephalus_concinens,0.003882723626613,54,0,6,LC
Acrocephalus_dumetorum,0.00612493170634245,172,214,18,LC
Acrocephalus_familiaris,8.92339477800836e-4,1375,0,74,CR
Acrocephalus_gracilirostris,0.0161044114797416,593,32,11,LC
Acrocephalus_melanopogon,0.0139870522131354,960,24,13,LC
Acrocephalus_mendanae,0.0184077716584362,3392,0,21,LC
Acrocephalus_newtoni,0.00644590171088431,41,24,8,LC
Acrocephalus_palustris,0.0135979834170855,15406,122,54,LC
Acrocephalus_rufescens,0.00917570274473597,346,0,9,LC
Acrocephalus_schoenobaenus,0.00438629415569973,167,48,12,LC
Acrocephalus_scirpaceus,0.0154171613818505,110943,272,136,LC
Acrocephalus_stentoreus,0.0221316500420181,1234,0,12,LC
Actinodura_egertoni,0.00338730656179269,58,0,6,LC
Adelomyia_melanogenys,0.0517596891706714,35165,0,35,LC
Aegithalos_caudatus,0.0072213039278933,58519,0,132,LC
Aegithalos_concinnus,0.0144327111337538,354187,0,227,LC
Aegithalos_fuliginosus,2.15709895764985e-4,144,0,39,LC
Aegolius_acadicus,0.00150542539323768,2047,108,55,LC
Aegolius_funereus,0.00633530550625794,142,174,17,LC
Aegotheles_bennettii,0.0221845179909696,146,36,9,LC
Aegotheles_cristatus,0.00494132458926738,36,16,6,LC
Aegypius_monachus,0.0166345088322168,4142,320,44,NT
Agelaius_phoeniceus,0.00835754732427237,627,26,14,LC
Ailuroedus_buccoides,0.0128772076206369,463,0,10,LC
Ailuroedus_crassirostris,0.0330703923910066,1182,0,10,LC
Ailuroedus_melanotis,0.00853631141490968,532,0,13,LC
Aimophila_botterii,0.00502172000210938,3572,190,48,LC
Aimophila_cassinii,0.00145271966367763,28,0,8,LC
Alaemon_alaudipes,0.025800406211315,380,0,6,LC
Alcippe_chrysotis,0.03444643159445,445,0,6,LC
Alcippe_cinerea,0.0251916890922418,305,0,6,LC
Alcippe_cinereiceps,0.0406619818672395,430,0,6,LC
Alcippe_dubia,0.054608300234791,886,12,8,LC
Alcippe_morrisonia,0.0586651925601878,172604,194,98,LC
Alcippe_poioicephala,0.0280401503462727,2106,0,14,LC
Alectoris_graeca,0.00143675095131406,26,36,9,NT
Alectoris_magna,0.00324045580664323,726,0,24,LC
Alectrurus_risora,0.00363249895124216,138,0,11,VU
Alectura_lathami,0.00174270229211565,6232,972,127,LC
Alethe_poliocephala,0.0424536951166602,5324,0,16,LC
Amaurornis_phoenicurus,0.0283222249601198,232,24,7,LC
Amazona_farinosa,0.0195883164142913,3291,42,22,NT
Amazona_ochrocephala,0.0234713263275349,632,0,9,LC
Amblycercus_holosericeus,0.0275844293911732,369,0,6,LC
Ammomanes_deserti,0.0464692279546286,669,0,6,LC
Amphispiza_belli,0.00799563838612441,40770,0,95,LC
Anairetes_flavirostris,0.0274466737722566,163,18,6,LC
Anairetes_nigrocristatus,0.00161303574368902,269,38,20,LC
Anairetes_reguloides,0.00242471839743559,3150,104,53,LC
Anas_platyrhynchos,7.46515872198916e-4,1372,2280,74,LC
Anas_strepera,6.77799637410341e-4,1007,0,55,LC
Andropadus_latirostris,0.0179996376338039,1053,28,15,LC
