SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS
Abroscopus_albogularis,0.010669253,11,0,2
Aburria_aburri,,0,2,2
Acanthiza_apicalis,0.003144654,6,0,3
Acanthiza_chrysorrhoa,0.003677903,24,0,5
Acanthiza_ewingii,0.001048218,2,0,3
Acanthiza_inornata,0.001572327,1,0,2
Acanthiza_iredalei,0.001048218,2,0,3
Acanthiza_katherina,0.022444334,32,0,3
Acanthiza_lineata,0.003144654,2,0,2
Acanthiza_nana,0.01068921,47,0,4
Acanthiza_pusilla,0,0,0,3
Acanthiza_reguloides,0.004454927,17,0,4
Acanthiza_robustirostris,0.004716981,3,0,2
Acanthiza_uropygialis,0.004716981,3,0,2
Accipiter_cooperii,,0,2,2
Accipiter_gularis,0.081619249,250,0,3
Accipiter_nisus,0.003067773,10,0,3
Accipiter_virgatus,0,0,0,2
Aceros_cassidix,0.005561735,5,0,2
Aceros_comatus,0.015381409,84,0,4
Aceros_corrugatus,0.013363213,187,0,6
Aceros_leucocephalus,0.00770077,7,0,2
Aceros_narcondami,0.00880088,8,0,2
Aceros_nipalensis,0.00770077,7,0,2
Aceros_plicatus,0.028109575,147,0,4
Aceros_subruficollis,0.00990099,9,0,2
Aceros_undulatus,0.021828683,415,0,7
Aceros_waldeni,0.002281369,12,0,5
Acridotheres_tristis,0,0,10,4
Acrocephalus_aedon,0.004566511,22,0,4
Acrocephalus_aequinoctialis,0.001836553,23,0,6
Acrocephalus_agricola,0.006434597,6514,368,50
Acrocephalus_arundinaceus,0.004294648,43,16,7
Acrocephalus_atyphus,0,0,0,5
Acrocephalus_australis,0.00393354,233,24,13
Acrocephalus_baeticatus,0.009324518,2039,42,24
Acrocephalus_bistrigiceps,0.015900406,551,14,10
Acrocephalus_brevipennis,0.0029558,585,0,20
Acrocephalus_caffer,0.005407493,14,0,3
Acrocephalus_concinens,0.003882724,54,0,6
Acrocephalus_dumetorum,0.006125876,172,214,18
Acrocephalus_familiaris,0.000892339,1375,0,74
Acrocephalus_gracilirostris,0.016106062,593,32,11
Acrocephalus_griseldis,0.003025549,16,6,5
Acrocephalus_kerearako,0.010200229,54,0,4
Acrocephalus_melanopogon,0.01398708,960,24,13
Acrocephalus_mendanae,0.020588812,5872,0,26
Acrocephalus_newtoni,0.006445902,41,24,8
Acrocephalus_orinus,0.009852907,3617,918,44
Acrocephalus_paludicola,0.007252559,61,0,5
Acrocephalus_palustris,0.002764014,2810,110,52
Acrocephalus_rimatarae,0.00112901,6,0,4
Acrocephalus_rufescens,0.0090766,341,0,9
Acrocephalus_schoenobaenus,0.004386294,167,48,12
Acrocephalus_scirpaceus,0.013348519,97696,268,134
Acrocephalus_sechellensis,0.001623204,5,6,4
Acrocephalus_stentoreus,0.022131313,1234,0,12
Acrocephalus_syrinx,0.001396173,10,0,5
Acrocephalus_taiti,0.000460565,4,0,5
Acrocephalus_tangorum,0.003675928,32,0,5
Acrocephalus_vaughani,0.018686309,172,0,5
Actinodura_egertoni,0.003390277,58,0,6
Actinodura_morrisoniana,0.001789741,11,0,4
Actinodura_nipalensis,0.003454231,10,6,4
Actinodura_ramsayi,0.003411198,13,0,4
Actinodura_souliei,0.000874891,1,4,3
Actinodura_waldeni,0.002214067,13,0,4
Actophilornis_africanus,,0,2,2
Adelomyia_melanogenys,0.051714398,35165,0,35
Aechmophorus_clarkii,,0,2,2
Aegithalos_caudatus,0.007301462,60895,0,134
Aegithalos_concinnus,0.015393069,380804,0,230
Aegithalos_fuliginosus,0.00021571,144,0,39
Aegithalos_iouschistos,0.004750134,14,0,3
Aegithalos_leucogenys,0.006417112,6,0,2
Aegithalos_niveogularis,0.004487576,12,0,3
Aegolius_acadicus,0.001364361,1797,106,54
Aegolius_funereus,0.006328416,142,174,17
Aegotheles_albertisi,0.046702318,146,0,4
Aegotheles_archboldi,0.0056926,18,0,4
Aegotheles_bennettii,0.037688709,551,48,11
