SP;GD;NUM_BP;DROPPED_PAIRS;SEQS
Abroscopus_albogularis;0.0106692531522793;11;0;2
Aburria_aburri;NaN;0;2;2
Acanthiza_apicalis;0.00314465408805031;6;0;3
Acanthiza_chrysorrhoa;0.00367809514140284;24;0;5
Acanthiza_ewingii;0.00104821802935010;2;0;3
Acanthiza_inornata;0.00157232704402516;1;0;2
Acanthiza_iredalei;0.00104821802935010;2;0;3
Acanthiza_katherina;0.0224443336196308;32;0;3
Acanthiza_lineata;0.00314465408805031;2;0;2
Acanthiza_nana;0.00992319805070626;156;8;4
Acanthiza_pusilla;0;0;0;3
Acanthiza_reguloides;0.00445492662473795;17;0;4
Acanthiza_robustirostris;0.00471698113207547;3;0;2
Acanthiza_uropygialis;0.00471698113207547;3;0;2
Accipiter_cooperii;NaN;0;2;2
Accipiter_gularis;0.0453648915187377;46;4;3
Accipiter_nisus;0.0558242833561155;343;0;4
Accipiter_virgatus;0;0;0;2
Aceros_cassidix;0.0417177070599302;111;0;3
Aceros_comatus;0.0153814086174274;84;0;4
Aceros_corrugatus;0.0249576655466314;477;0;7
Aceros_leucocephalus;0.00770077007700770;7;0;2
Aceros_narcondami;0.00880088008800880;8;0;2
Aceros_nipalensis;0.00770077007700770;7;0;2
Aceros_plicatus;0.0281095748183412;147;0;4
Aceros_subruficollis;0.00990099009900990;9;0;2
Aceros_undulatus;0.0217870942122072;414;0;7
Aceros_waldeni;0.00228571428571429;12;0;5
Acridotheres_tristis;0;0;10;4
Acrocephalus_aedon;0.00456697373186583;22;0;4
Acrocephalus_aequinoctialis;0.00183655314911096;23;0;6
Acrocephalus_agricola;0.00643374474322568;6514;368;50
Acrocephalus_arundinaceus;0.00429464797615010;43;16;7
Acrocephalus_atyphus;0;0;0;5
Acrocephalus_australis;0.00393354029365360;233;24;13
Acrocephalus_baeticatus;0.00932451780914469;2039;42;24
Acrocephalus_bistrigiceps;0.0159002599164255;551;14;10
Acrocephalus_brevipennis;0.00300135521549287;601;0;20
Acrocephalus_caffer;0.00540749324063345;14;0;3
Acrocephalus_concinens;0.00388272362661300;54;0;6
Acrocephalus_dumetorum;0.00612493170634245;172;214;18
Acrocephalus_familiaris;0.000892339477800836;1375;0;74
Acrocephalus_gracilirostris;0.0161044114797416;593;32;11
Acrocephalus_griseldis;0.00302554918195999;16;6;5
Acrocephalus_kerearako;0.0102002292129654;54;0;4
Acrocephalus_melanopogon;0.0139870522131354;960;24;13
Acrocephalus_mendanae;0.0184077716584362;3392;0;21
