ACC_NUM,JETZ_NEW,RED_LIST_JETZ.2017.,NOTES,GENE,NUM_BP,NEW_NAME_PHYLO,ORDER,OscSubOsc,FAMILY
AY583254.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583255.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583256.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583257.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583258.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583259.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583260.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583261.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583262.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583263.1,Phylloscopus chloronotus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
KJ456391.1,Phylloscopus chloronotus,LC,"",cytochrome b,1026,,PASSERIFORMES,Passeri,Sylviidae
DQ008504.1,Phylloscopus chloronotus,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
AY583250.1,Phylloscopus forresti,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583251.1,Phylloscopus forresti,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583252.1,Phylloscopus forresti,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583253.1,Phylloscopus forresti,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
KJ456394.1,Phylloscopus humei,LC,"",cytochrome b,1097,,PASSERIFORMES,Passeri,Sylviidae
KP267724.1,Phylloscopus humei,LC,"",cytochrome b,852,,PASSERIFORMES,Passeri,Sylviidae
KP267725.1,Phylloscopus humei,LC,"",cytochrome b,852,,PASSERIFORMES,Passeri,Sylviidae
KP267726.1,Phylloscopus humei,LC,"",cytochrome b,852,,PASSERIFORMES,Passeri,Sylviidae
Z73488.1,Phylloscopus humei,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
AY635054.1,Phylloscopus inornatus,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
DQ119544.2,Phylloscopus inornatus,LC,"",cytochrome b,521,,PASSERIFORMES,Passeri,Sylviidae
DQ119545.2,Phylloscopus inornatus,LC,"",cytochrome b,521,,PASSERIFORMES,Passeri,Sylviidae
DQ792799.1,Phylloscopus inornatus,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
DQ792800.1,Phylloscopus inornatus,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
KF742677.1,Phylloscopus inornatus,LC,"",cytochrome b,16875,,PASSERIFORMES,Passeri,Sylviidae
KP267727.1,Phylloscopus inornatus,LC,"",cytochrome b,852,,PASSERIFORMES,Passeri,Sylviidae
L77135.1,Phylloscopus humei,LC,Checked manually for splits,cytochrome b,910,,PASSERIFORMES,Passeri,Sylviidae
Y10734.1,Phylloscopus inornatus,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AY583245.1,Phylloscopus kansuensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583246.1,Phylloscopus kansuensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583247.1,Phylloscopus kansuensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583248.1,Phylloscopus kansuensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583249.1,Phylloscopus kansuensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583271.1,Phylloscopus maculipennis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
HQ608828.1,Phylloscopus maculipennis,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
KJ456395.1,Phylloscopus maculipennis,LC,"",cytochrome b,1054,,PASSERIFORMES,Passeri,Sylviidae
Y10731.1,Phylloscopus maculipennis,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AY635055.1,Phylloscopus maculipennis,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
AY583240.1,Phylloscopus proregulus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583241.1,Phylloscopus proregulus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583242.1,Phylloscopus proregulus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583243.1,Phylloscopus proregulus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583244.1,Phylloscopus proregulus,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY635058.1,Phylloscopus proregulus,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
DQ119546.1,Phylloscopus proregulus,LC,"",cytochrome b,511,,PASSERIFORMES,Passeri,Sylviidae
DQ119547.1,Phylloscopus proregulus,LC,"",cytochrome b,511,,PASSERIFORMES,Passeri,Sylviidae
DQ792796.1,Phylloscopus proregulus,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
DQ792797.1,Phylloscopus proregulus,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
DQ792798.1,Phylloscopus proregulus,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
HQ608830.1,Phylloscopus proregulus,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
L77134.1,Phylloscopus proregulus,LC,"",cytochrome b,910,,PASSERIFORMES,Passeri,Sylviidae
MG189603.1,Phylloscopus proregulus,LC,"",cytochrome b,16880,,PASSERIFORMES,Passeri,Sylviidae
Y10733.1,Phylloscopus proregulus,LC,"",cytochrome b,1041,,PASSERIFORMES,Passeri,Sylviidae
AY583264.1,Phylloscopus yunnanensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583265.1,Phylloscopus yunnanensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583266.1,Phylloscopus yunnanensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583267.1,Phylloscopus yunnanensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
AY583268.1,Phylloscopus yunnanensis,LC,"",cytochrome b,442,,PASSERIFORMES,Passeri,Sylviidae
HQ608833.1,Phylloscopus yunnanensis,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
KP267720.1,Phylloscopus yunnanensis,LC,"",cytochrome b,849,,PASSERIFORMES,Passeri,Sylviidae
HQ608846.1,Abroscopus albogularis,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Sylviidae
HQ706175.1,Abroscopus albogularis,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
EU861032.1,Abroscopus schisticeps,LC,"",cytochrome b,606,,PASSERIFORMES,Passeri,Sylviidae
DQ008515.1,Abroscopus superciliaris,LC,"",cytochrome b,1038,,PASSERIFORMES,Passeri,Sylviidae
AF165466.1,Aburria aburri,NT,"",cytochrome b,1002,,GALLIFORMES,NONPASSERIFORMES,Cracidae
AY354489.1,Aburria aburri,NT,"",cytochrome b,454,,GALLIFORMES,NONPASSERIFORMES,Cracidae
AY488330.1,Acanthagenys rufogularis,LC,"",cytochrome b,1026,,PASSERIFORMES,Passeri,Meliphagidae
AF489878.1,Acanthidops bairdii,LC,"",cytochrome b,1045,,PASSERIFORMES,Passeri,Emberizidae
AF399686.1,Carduelis flammea,LC,"",cytochrome b,302,,PASSERIFORMES,Passeri,Fringillidae
DQ192028.1,Carduelis flammea,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Fringillidae
KR422696.1,Carduelis flammea,LC,"",cytochrome b,16820,,PASSERIFORMES,Passeri,Fringillidae
L76386.1,Carduelis flammea,LC,"",cytochrome b,924,,PASSERIFORMES,Passeri,Fringillidae
U18859.1,Carduelis flammea,LC,"",cytochrome b,307,,PASSERIFORMES,Passeri,Fringillidae
AF171659.1,Carduelis hornemanni,LC,Different Name,cytochrome b,4253,,PASSERIFORMES,Passeri,Fringillidae
U83201.1,Carduelis hornemanni,LC,Different Name,cytochrome b,924,,PASSERIFORMES,Passeri,Fringillidae
AY325307.1,Acanthisitta chloris,LC,"",cytochrome b,16069,,PASSERIFORMES,Tyranni,Acanthisittidae
AF129218.1,Acanthiza apicalis,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129219.1,Acanthiza apicalis,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AY488392.1,Acanthiza apicalis,LC,"",cytochrome b,1044,,PASSERIFORMES,Passeri,Acanthizidae
AF129220.1,Acanthiza chrysorrhoa,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129221.1,Acanthiza chrysorrhoa,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF197851.1,Acanthiza chrysorrhoa,LC,"",cytochrome b,1143,,PASSERIFORMES,Passeri,Acanthizidae
AY488393.1,Acanthiza chrysorrhoa,LC,"",cytochrome b,1044,,PASSERIFORMES,Passeri,Acanthizidae
FJ821109.1,Acanthiza chrysorrhoa,LC,"",cytochrome b,999,,PASSERIFORMES,Passeri,Acanthizidae
AF129222.1,Acanthiza ewingii,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129223.1,Acanthiza ewingii,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129224.1,Acanthiza ewingii,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129225.1,Acanthiza inornata,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
AF129226.1,Acanthiza inornata,LC,"",cytochrome b,636,,PASSERIFORMES,Passeri,Acanthizidae
